"","X","Q8","STEM_Non.STEM","satacad","satlife","satoverall","respect9","intclimate10","socclimate11","collegial12","sameuniv13","samefield14","recommend15","curriculum16","teaching17","advising18","candidacy19","interdisc20","employment21","progqual22","Q21","Q23","Q24","htopicadv","hresearchadv","hwritingadv","hacadadv","hnonacadadv","hemployadv","Q32","Q38","Q39","Q40","Q42","Q45","Q46","Q47","Q48","Q49","Q90_1","Q99","sameuniv91","samefield92","recommend93","curriculum94","teaching95","advising96","candidacy97","interdisc98","employment99","progqual100","respect101","intclimate102","socclimate103","collegial104","workcomm","family","availfac","progreq","coursesched","immigration","Sex_ANOVA_Code","Citizenship_ANOVA_Code","Hispanic_Latino_ANOVA_Code","Race_Ethnicy_ANOVA_Code","Underrepresented"
"124",124,1,0,4,4,4,4,4,4,5,3,4,4,4,5,5,3,5,2,4,0,1,1,4,4,4,3,1,3,0,1,3,1,0,3,3,1,1,0,2.49051490514905,0,2,4,4,4,4,4,4,5,4,4,4.01282051282051,4.07435897435897,3.94871794871795,4.32307692307692,1.82278481012658,1.53452685421995,1.56598984771574,1.54936708860759,1.26075949367089,0.754430379746835,1,1,2,5,1
"125",125,1,1,3,4,3,3,5,5,5,3,2,4,3,3,5,5,3,3,4,1,0,0,4,4,4,4,3,4,0,1,4,0,1,10,6,1,5,0,3,1,3,2,4,3,3,5,5,3,4,4,3,5,5,5,1,1,2,2,1,1,2,1,2,5,1
"126",126,1,0,3,3,3,4,4,3,4,4,4,3,2,3,3,2,3,3,3,0,1,1,3,3,3,0,4,3,1,1,3,0,1,0,6,1,2,0,2,1,4,4,3,2,3,3,2,3,3,3,4,3,3,4,3,1,2,1,1,1,2,1,2,5,1
"127",127,5,0,4,4,4,3,4,4,4,5,5,4,5,5,3,3,5,2,4,1,1,0,4,3,4,4,4,4,1,1,4,1,1,0,9,1,4,1,2,1,4,5,4,5,5,3,3,5,4,4,3,4,4,4,3,2,1,2,1,1,1,1,2,5,1
"128",128,3,1,5,3,4,5,4,4,5,4,4,4,4,4,3,5,5,2,4,1,1,1,4,4,3,3,3,4,0,1,3,1,0,99,10,1,6,0,1,1,4,4,4,4,4,3,5,5,3,4,5,4,4,5,1,2,1,1,1,0,2,1,2,5,1
"129",129,1,1,5,4,5,2,4,4,4,4,4,4,4,4,5,3,3,2,3,1,1,1,4,4,4,0,0,0,0,1,4,1,1,7,0,2,1,1,5,1,4,4,4,3,4,5,4,4,2,3,2,4,4,4,3,1,2,2,1,1,2,1,2,1,1
"130",130,1,0,5,3,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,1,1,1,4,4,4,4,4,4,1,1,4,1,1,2,12,1,8,1,2,0,5,5,4,5,5,5,5,5,5,5,5,5,5,3,3,1,1,1,1,1,1,1,2,5,1
"131",131,3,1,5,4,3,5,5,4,5,5,4,5,5,5,5,3,4,4,5,1,1,1,2,3,2,0,3,1,1,1,3,0,1,11,1,0,0,0,2,1,5,4,5,3.61282051282051,3.78205128205128,3.65217391304348,3.59125964010283,3.54241645244216,3.13624678663239,3.71794871794872,5,5,4,5,2,3,2,1,2,0,1,1,2,5,1
"132",132,5,0,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,1,1,1,4,0,0,0,2,3,1,1,4,1,1,0,20,1,5,1,2,1,5,3,5,5,5,5,5,3,5,5,5,5,5,5,3,3,2,2,1,1,2,1,2,5,1
"133",133,1,0,4,2,3,4,3,3,3,3,4,3,4,4,4,3,4,1,3,1,1,1,4,4,4,3,2,1,1,1,3,1,0,2,4,1,1,0,2,1,3,3,2,3,4,4,2,3,1,3,4,3,3,3,3,2,1,1,1,1,1,1,2,5,1
